title,timestamp,protocol,direction,port,duration_sec,parallel_streams,message_size_param,window_size_param,target_ip,iperf_version,system_info,cpu_utilization_percent,sent_bps,sent_bytes,sent_retransmits,received_bps,received_bytes,udp_bps,udp_bytes,udp_jitter_ms,udp_lost_packets,udp_lost_percent,error_message,sub_direction
udp_tx_P1_M128K_Wdef_D10_port52002,,udp,tx,52002,10,1,128K,,3.3.3.4,,,,,,,,,,,,,,Client execution failed or returned no data,tx
udp_rx_P1_Mdef_Wdef_D10_port52001,"Sat, 24 May 2025 02:42:18 GMT",udp,rx,52001,10,1,,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,,,1050083.509515645,1312612,0.0017429426000259785,0,0,,rx
udp_rx_P1_Mdef_Wdef_D10_port52002,"Sat, 24 May 2025 02:42:18 GMT",udp,rx,52002,10,1,,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,,,1050083.7195311706,1312612,0.0015683844450717712,0,0,,rx
udp_rx_P1_M64K_Wdef_D10_port52001,,udp,rx,52001,10,1,64K,,3.3.3.4,,,,,,,,,,,,,,Client execution failed or returned no data,rx
udp_rx_P1_M64K_Wdef_D10_port52002,,udp,rx,52002,10,1,64K,,3.3.3.4,,,,,,,,,,,,,,Client execution failed or returned no data,rx
udp_rx_P1_M128K_Wdef_D10_port52001,,udp,rx,52001,10,1,128K,,3.3.3.4,,,,,,,,,,,,,,Client execution failed or returned no data,rx
udp_rx_P1_M128K_Wdef_D10_port52002,,udp,rx,52002,10,1,128K,,3.3.3.4,,,,,,,,,,,,,,Client execution failed or returned no data,rx
udp_bx_P1_Mdef_Wdef_D10_port52002,"Sat, 24 May 2025 02:42:28 GMT",udp,bx,52002,10,1,,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,,,1050083.509515645,1312612,0.00091967145108992,0,0,,bx
udp_bx_P1_Mdef_Wdef_D10_port52001,"Sat, 24 May 2025 02:42:28 GMT",udp,bx,52001,10,1,,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,,,1050083.7195311706,1312612,0.0014073129364554284,0,0,,bx
udp_bx_P1_M64K_Wdef_D10_port52001,,udp,bx,52001,10,1,64K,,3.3.3.4,,,,,,,,,,,,,,Client execution failed or returned no data,bx
udp_bx_P1_M64K_Wdef_D10_port52002,,udp,bx,52002,10,1,64K,,3.3.3.4,,,,,,,,,,,,,,Client execution failed or returned no data,bx
udp_bx_P1_M128K_Wdef_D10_port52001,,udp,bx,52001,10,1,128K,,3.3.3.4,,,,,,,,,,,,,,Client execution failed or returned no data,bx
udp_bx_P1_M128K_Wdef_D10_port52002,,udp,bx,52002,10,1,128K,,3.3.3.4,,,,,,,,,,,,,,Client execution failed or returned no data,bx
